name,type
mcf oregano,
#5hthu5,
#Kiên_cook,
#bepdonghuong,
#bepvang,
#bếp,
#bữa,
#d_10,
#diet,
#eatclean,
#giamcan,
#healthyfood,
#justiin,
#justinn,
#muonkieutetviet,
#suatuoitranchauduongden,
#team,
#vidangmangon,
$$$$Phần xào thịt: (thìa ăn = tablespoon tbsp,
'5 lít nước lọc,
( 18 con)tôm sú,
( Ngoài ra có thể cho thêm đường,
( bát ăn cơm) cơm mẻ,
( bạn nào lười có thể mua gói gia vị thịt nướng xả sẵn ở siêu thi),
( hoặc đường trắng),
( hành lá,
( lượng nấu này được 8 bát cháo tô to),
( xà lách,
( ít muối để rửa sườn và ít dầu ăn để phết vỉ/khay nướng),
(- 100ml nước ép táo + Mè rang cho vào sau theo hướng dẫn trong bài),
(1 má đùi gà góc tư),
(1-1,
(1/2 cfe bột ngọt - ai ko thích bỏ qua,
(1/2 gói) Agiquick chiên gà giòn,
(1/2 hộp nhỏ) Whipping cream,
(2) Làm sốt tare: - muối,
(30-50gr) óc heo,
(65-70g tính cả vỏ) trứng cỡ vừa,
(Bạn nào thích ăn thân bí thì lấy luôn cả thân và lá nhưng thân lá ăn hơi dai một tý),
(Bạn ăn được cay thêm chút ớt sẽ ngon hơn rất nhiều),
(Bột này thường chỉ có ở Huế,
(Cho 4 người ăn),
(Cá j cũng được,
(Các bạn nêm theo số lượng mình thích nha!),
(Có thể thay xoài bằng trái cây khác ạ),
(Dashi (Bột nêm cá),
(Hạn chế nhiều gia vị),
(Hạt Nêm Chay + mì chính + muối + Tiêu) một chút đường Nếu Thích Ngọt Ngào 😁,
(Khoai lang và cà rốt củ nhỏ nên mình dùng số lượng 4,
(Kết hợp cà rốt còn lại nấu canh cùng susu,
(Liều lượng : nêm theo khẩu vị cá nhân của chủ bếp nhé),
(Lá chanh),
(Mình ko để số liệu rõ ràng vì tùy sở thích của bạn),
(Mọi nguyên liệu trên,
(Mọi người có thể mix với loại rau mọi người có với yêu thích còn em thì có gì trộn đó🥲),
(Những bài đăng mình sẽ không ghi số lượng nguyên liệu,
(Nêm nếm tuỳ theo khẩu phần ăn và khẩu vị),
(Nói chung mùa này có rau gì xài rau nấy 😄😄😄),
(Nấm các loại tuỳ thích),
(Nấm kim châm),
(Nấm đông cô nếu có),
(Nấu nhiều xôi hay ít thì tuỳ nhé,
(Nếu ai ăn được mắm tôm và mẻ thì mới chuẩn vị chả cá lăng,
(Nếu có khoai tây thì thêm cũng được nhé),
(Nếu ko có Caramel có thể thay bằng Nước Màu để kho thịt/cá tự làm),
(Nếu tảo bẹ và cá bào các bạn khó tìm thì dùng nước lọc thôi như trên bài cũng được nhé),
(Salad) bắp cải tím,
(Súp lơ,
(Thêm carot thì thêm ngon),
(Thích ăn thịt thì cứ cho thêm vào nhé),
(Tôi dùng sữa chua Grec hơi đặc nên phải thêm sữa lên men bù lại lượng chất lỏng),
(Tùy chọn): nước cốt chanh hoặc trái tắc để tạo vị thanh mát,
